Name,Age,Ht.,Nickname,Endeavor record,MMA record,Weight Class,Weight Class Index,Overall Wins,Overall Losses,UFC Wins,UFC Losses,k_wins,sb_wins,d_wins,hd_strk,lg_stk,bd_strk,st_land,st_attemp,tk_land,tk_attemp,strksL_perm,strksAb_perm,takedAv_per,subAvg_perm,strk_d,take_d,kd_rat,av_time,stand_stk,clinch_stk,grnd_stk,Rank,Reign(total),Defenses,ex_champ
Curtis Blaydes,28,75.9841,Razor,6 2 (1 NC),11 2 (1 NC),Heavyweight,0,11, 2 ,6,2  ,8.0,0.0,2.0,230.0,52.0,46.0,328.0,640.0,33.0,70.0,3.71,2.03,6.79,0.0,55.0,25.0,0.17,09:49,118.0,55.0,155.0,4.0,,,False
Cyril Asker,33,72.0471,Silverback,2 3,9 4,Heavyweight,0,9 ,4,2,3,4.0,3.0,2.0,51.0,0.0,6.0,57.0,146.0,5.0,8.0,3.35,5.82,4.41,0.88,36.0,10.0,0.00,03:24,20.0,4.0,33.0,,,,False
Marcin Tybura,33,75.19669999999998,Tybur,4 4,17 5,Heavyweight,0,17, 5,4,4,7.0,6.0,4.0,247.0,63.0,59.0,369.0,702.0,11.0,18.0,3.6,2.99,1.61,0.15,52.0,79.0,0.15,14:38,213.0,49.0,107.0,10.0,,,False
Alexander Volkov,30,79.13369999999998,Drago,4 1,30 7,Heavyweight,0,30, 7,4,1,19.0,3.0,7.0,311.0,67.0,93.0,471.0,780.0,5.0,8.0,6.28,3.35,1.2,0.0,57.0,75.0,0.40,14:59,370.0,57.0,44.0,6.0,,,False
Daniel Spitz,28,79.13369999999998,Daddy Long Legs,1 2,6 2,Heavyweight,0,6 ,2,1,2,,,,39.0,16.0,18.0,73.0,184.0,,,2.88,4.77,1.18,0.0,51.0,0.0,08:28,14:59,370.0,57.0,44.0,,,,False
Justin Willis,31,75.19669999999998,Big Pretty,4 1,8 2,Heavyweight,0,8 ,2,4,1,4.0,3.0,1.0,176.0,16.0,19.0,211.0,356.0,4.0,6.0,3.37,2.57,0.96,0.0,58.0,36.0,0.48,12:31,168.0,14.0,29.0,11.0,,,False
Junior Albini,28,75.19669999999998,Baby,1 3,14 5,Heavyweight,0,14, 5,1,3,6.0,6.0,2.0,60.0,17.0,20.0,97.0,183.0,1.0,8.0,3.8,5.49,1.76,0.0,51.0,10.0,0.59,06:23,73.0,20.0,4.0,,,,False
Marcelo Golm,26,75.19669999999998,,1 3,6 3,Heavyweight,0,6 ,3,1,3,5.0,1.0,0.0,89.0,24.0,24.0,137.0,228.0,1.0,2.0,4.26,3.92,0.47,0.47,47.0,88.0,0.00,10:43,68.0,49.0,20.0,,,,False
Adam Wieczorek,27,77.1652,Siwy,2 1,10 2,Heavyweight,0,10, 2,2,1,3.0,6.0,1.0,28.0,13.0,21.0,62.0,160.0,,3.0,1.68,1.87,0.41,0.41,49.0,59.0,0.00,12:20,43.0,12.0,7.0,,,,False
Tai Tuivasa,26,74.01559999999998,Bam Bam,3 1,8 1,Heavyweight,0,8 ,1,3,1,7.0,0.0,1.0,91.0,12.0,27.0,130.0,249.0,,2.0,4.42,3.06,0.0,0.0,59.0,10.0,1.02,07:21,99.0,29.0,2.0,12.0,,,False
