names,reach,reach2
Dhiego Lima,74.50,42.50
Alan Jouban,"Aug. 16, 2014",73.50
Colby Covington,41.00,
Alberto Mina,"Aug. 23, 2014",77.50
Shinsho Anzai,40.00,
Leon Edwards,"Nov. 09, 2014",74.00
Bryan Barberena,"Dec. 13, 2014",72.50
Alex Oliveira,"Mar. 21, 2015",76.50
Bartosz Fabinski,"Apr. 11, 2015",75.00
Darren Till,74.50,42.00
Elizeu dos Santos,"May. 30, 2015",73.00
Kamaru Usman,76.00,41.00
Vicente Luque,"Jul. 12, 2015",75.50
Lyman Good,"Jul. 15, 2015",74.00
Danny Roberts,"Dec. 10, 2015",74.00
Nathan Coy,39.00,
Alex Morono,"Jan. 03, 2016",72.00
Randy Brown,"Jan. 31, 2016",78.00
Mickey Gall,"Feb. 07, 2016",74.00
Mike Jackson,74.00,42.00
Luan Chagas,41.00,
Belal Muhammad,"Jul. 07, 2016",72.00
Mike Perry,71.00,39.00
Max Griffin,"Aug. 20, 2016",76.00
CM Punk,,
Zak Ottow,72.00,40.50
Abdul Razak Alhassan,73.00,39.00
Brian Camozzi,,
Niko Price,76.00,42.50
Luke Jumeau,72.00,40.50
Frank Camacho,73.00,38.00
Ramazan Emeev,76.00,42.00
Salim Touahri,,
Muslim Salikhov,70.00,41.00
Curtis Millender,76.00,45.00
Geoff Neal,,
Ricky Rainey,77.00,43.50
Chance Rencountre,75.00,42.00
Hector Aldana,,
David Zawada,75.00,41.50
Aleksei Kunchenko,70.00,37.00
Stefan Sekulic,,
Luigi Vendramini,,
Laureano Staropoli,,
Dwight Grant,78.00,44.00
Kyle Stewart,,
Ismail Naurdiev,,
Ben Askren,,
Zelim Imadaev,,
Takashi Sato,,
Kyle Prepolec,,
Nate Diaz,76.00,38.00
Clay Guida,"Oct. 14, 2006",70.00
Joe Lauzon,"Sep. 23, 2006",71.50
Donald Cerrone,73.00,40.50
Dong Hyun Ma,42.50,
Jim Miller,"Oct. 18, 2008",71.00
Nik Lentz,"Sep. 19, 2009",68.00
Gray Maynard,"Jun. 23, 2007",70.00
Erik Koch,"Mar. 20, 2011",71.50
Charles Oliveira,"Aug. 01, 2010",74.00
Dustin Poirier,72.00,40.50
Edson Barboza,"Nov. 21, 2010",75.00
John Makdessi,"Dec. 12, 2010",68.00
Tony Ferguson,"Jun. 05, 2011",76.50
Khabib Nurmagomedov,"Jan. 21, 2012",70.00
Al Iaquinta,"Jun. 02, 2012",70.00
Francisco Trinaldo,"Jun. 24, 2012",70.00
Jon Tuck,"Nov. 10, 2012",73.00
Drew Dober,"Dec. 01, 2013",70.00
Abel Trujillo,39.00,
Rustam Khabilov,73.00,40.50
Vinc Pichel,72.00,40.50
Yancy Medeiros,75.50,41.00
Leonardo Santos,"Jun. 08, 2013",75.00
James Vick,"Aug. 17, 2013",76.00
Alan Patrick,,
Mairbek Taisumov,"Jan. 04, 2014",73.00
Beneil Dariush,72.00,40.50
Kevin Lee,"Feb. 02, 2014",77.00
Olivier Aubin-Mercier,"Apr. 16, 2014",70.50
Alex White,"Apr. 19, 2014",71.50
Nick Hein,"May. 31, 2014",65.50
Alexander Yakovlev,"May. 31, 2014",74.00
Dan Hooker,"Jun. 28, 2014",75.00
Gilbert Burns,"Jul. 26, 2014",71.00
Paul Felder,70.50,40.00
Gregor Gillespie,,
Stevie Ray,"Apr. 11, 2015",70.00
