Name,Age,Ht.,Nickname,Endeavor record,MMA record,Weight Class,Weight Class Index,Overall Wins,Overall Losses,UFC Wins,UFC Losses
James Vick,32,75.19669999999999,The Texecutioner,9 3,13 3,Lightweight,4,13, 3,9 ,3
Alan Patrick,35,70.866,Nuguette,5 2,15 2,Lightweight,4,15, 2,5 ,2
Mairbek Taisumov,30,68.8975,Beckan,7 1,27 5,Lightweight,4,27, 5,7 ,1
Beneil Dariush,30,70.0786,,10 4 1,16 4 1,Lightweight,4,16, 4 ,10, 4 
Kevin Lee,26,68.8975,The Motown Phenom,10 4,17 4,Lightweight,4,17, 4,10, 4
Olivier Aubin-Mercier,30,68.8975,The Quebec Kid,7 4,11 4,Lightweight,4,11, 4,7 ,4
Alex White,30,72.0471,The Spartan,4 5,13 5,Lightweight,4,13, 5,4 ,5
Nick Hein,35,66.1416,Sergeant,4 3,14 4 (1 NC),Lightweight,4,14, 4 ,4 ,3
Alexander Yakovlev,34,75.19669999999999,Thunder of the North,3 4,24 8 1,Lightweight,4,24, 8 ,3 ,4
Dan Hooker,29,72.0471,The Hangman,7 4,17 8,Lightweight,4,17, 8,7 ,4
Carlos Diego Ferreira,34,68.11009999999999,,6 2,15 2,Lightweight,4,15, 2,6 ,2
Gilbert Burns,32,70.0786,Durinho,8 3,15 3,Lightweight,4,15, 3,8 ,3
Paul Felder,34,70.866,The Irish Dragon,8 4,16 4,Lightweight,4,16, 4,8 ,4
Gregor Gillespie,32,68.8975,The Gift,6 0,13 0,Lightweight,4,13, 0,6 ,0
Stevie Ray,29,70.0786,Braveheart,6 3,22 8,Lightweight,4,22, 8,6 ,3
Teemu Packalén,31,72.8345,Pacu,1 2,8 2,Lightweight,4,8 ,2,1 ,2
Islam Makhachev,27,70.0786,,6 1,17 1,Lightweight,4,17, 1,6 ,1
Magomed Mustafaev,30,68.8975,,3 1,14 2,Lightweight,4,14, 2,3 ,1
Joe Duffy,31,70.0786,Irish Joe,4 3,16 4,Lightweight,4,16, 4,4 ,3
Andrew Holbrook,33,70.866,,2 3,12 3,Lightweight,4,12, 3,2 ,3
Scott Holtzman,35,68.8975,Hot Sauce,5 3,12 3,Lightweight,4,12, 3,5 ,3
Joaquim Silva,30,68.11009999999999,Netto BJJ,4 1,11 1,Lightweight,4,11, 1,4 ,1
Chris Gruetzemacher,32,68.11009999999999,Gritz,2 2,14 3,Lightweight,4,14, 3,2 ,2
Ryan Hall,34,70.0786,The Wizard,3 0,7 1,Lightweight,4,7 ,1,3 ,0
David Teymur,30,68.8975,,5 1,8 2,Lightweight,4,8 ,2,5 ,1
Thibault Gouti,32,70.0786,GT,1 5,12 5,Lightweight,4,12, 5,1 ,5
Damir Hadžović,32,70.866,The Bosnian Bomber,3 2,13 4,Lightweight,4,13, 4,3 ,2
Darrell Horcher,31,70.0786,The Saint,1 3,13 4,Lightweight,4,13, 4,1 ,3
Polo Reyes,34,70.866,El Toro,4 2,8 5,Lightweight,4,8 ,5,4 ,2
Lando Vannata,27,68.8975,Groovy,2 3 2,10 3 2,Lightweight,4,10, 3 ,2 ,3 2
Jessin Ayari,26,72.0471,Abacus,1 2,16 5,Lightweight,4,16, 5,1 ,2
Jason Gonzalez,29,74.01559999999999,Nicoya,1 3,11 5,Lightweight,4,11, 5,1 ,3
Marc Diakiese,26,70.0786,Bonecrusher,4 3,13 3,Lightweight,4,13, 3,4 ,3
Claudio Puelles,23,70.866,El Niño,1 1,8 2,Lightweight,4,8 ,2,1 ,1
Devin Powell,31,72.0471,,1 3,9 4,Lightweight,4,9 ,4,1 ,3
Drakkar Klose,31,68.11009999999999,,4 1,10 1 1,Lightweight,4,10, 1 ,4 ,1
Davi Ramos,32,68.11009999999999,Tasmanian Devil,3 1,9 2,Lightweight,4,9 ,2,3 ,1
Desmond Green,29,70.0786,The Predator,2 3,22 8,Lightweight,4,22, 8,2 ,3
Jared Gordon,30,68.8975,Flash,2 2,14 3,Lightweight,4,14, 3,2 ,2
Justin Gaethje,30,70.866,The Highlight,3 2,20 2,Lightweight,4,20, 2,3 ,2
Alex Reyes,32,70.866,The Executioner,0 1,13 3,Lightweight,4,13, 3,0 ,1
Nasrat Haqparast,23,70.0786,,2 1,10 2,Lightweight,4,10, 2,2 ,1
Matt Frevola,28,68.8975,Steamrolla,1 1 1,7 1 1,Lightweight,4,7 ,1 1,1 ,1 1
Alexander Hernandez,26,68.8975,The Great,2 1,10 2,Lightweight,4,10, 2,2 ,1
Dan Moret,32,72.0471,The Hitman,0 2,13 5,Lightweight,4,13, 5,0 ,2
John Gunther,33,68.8975,The Machine,1 1,5 1,Lightweight,4,5 ,1,1 ,1
Allan Zuniga,27,66.92899999999999,Trigre,0 1,13 1,Lightweight,4,13, 1,0 ,1
Michael Trizano,27,70.866,The Lone Wolf,2 0,8 0,Lightweight,4,8 ,0,2 ,0
Christos Giagos,29,70.0786,The Spartan,2 3,16 7,Lightweight,4,16, 7,2 ,3
Te Edwards,28,68.11009999999999,T,0 2,6 3,Lightweight,4,6 ,3,0 ,2
Don Madge,28,72.0471,Magic Man,1 0,8 3 1,Lightweight,4,8 ,3 1,1 ,0
Devonte Smith,25,68.11009999999999,King Kage,2 0,10 1,Lightweight,4,10, 1,2 ,0
Thiago Moises,24,68.8975,,0 1,11 3,Lightweight,4,11, 3,0 ,1
Jesus Pinedo,22,70.0786,El Mudo,1 1,16 5 1,Lightweight,4,16, 5 ,1 ,1
Roosevelt Roberts,25,72.8345,The Predator,2 0,8 0,Lightweight,4,8 ,0,2 ,0
Alex Gorgees,23,74.01559999999999,Hitman,0 1,6 1,Lightweight,4,6 ,1,0 ,1
Jalin Turner,23,75.19669999999999,The Tarantula,1 2,8 5,Lightweight,4,8 ,5,1 ,2
Damir Ismagulov,28,70.0786,,2 0,18 2,Lightweight,4,18, 2,2 ,0
Marcos Rosa Mariano,32,72.8345,Dhalsim,0 1,6 5,Lightweight,4,6 ,5,0 ,1
Callan Potter,34,72.8345,The Rockstar,0 1,17 8,Lightweight,4,17, 8,0 ,1
Joel Alvarez,26,72.0471,El Fenomeno,0 1,15 2,Lightweight,4,15, 2,0 ,1
Rafael Fiziev,26,68.11009999999999,Ataman,0 1,6 1,Lightweight,4,6 ,1,0 ,1
Alex da Silva Coelho,23,70.0786,Leko,0 1,20 2,Lightweight,4,20, 2,0 ,1
Arman Tsarukyan,22,68.8975,,0 1,13 2,Lightweight,4,13, 2,0 ,1
Thomas Gifford,26,72.8345,The Young Lion,0 1,14 8 (2 NC),Lightweight,4,14, 8 ,0 ,1
Mike Davis,26,72.0471,Beast Boy,0 1,6 2,Lightweight,4,6 ,2,0 ,1
Gilbert Melendez,37,68.8975,El Niño,7 5,22 7,Featherweight,5,22, 7,7 ,5
Frankie Edgar,37,66.1416,The Answer,17 6 1,23 6 1,Featherweight,5,23, 6 ,17, 6 
Cub Swanson,35,66.92899999999999,Killer,15 10,25 11,Featherweight,5,25, 11,15, 10
Jeremy Stephens,32,68.11009999999999,Lil' Heathen,15 15,28 16,Featherweight,5,28, 16,15, 15
José Aldo,32,66.92899999999999,Junior,18 3,28 4,Featherweight,5,28, 4,18, 3
Ricardo Lamas,36,66.92899999999999,The Bully,14 7,19 7,Featherweight,5,19, 7,14, 7
Darren Elkins,34,70.0786,The Damage,14 6,24 7,Featherweight,5,24, 7,14, 6
Chan Sung Jung,32,68.8975,The Korean Zombie,4 4,14 5,Featherweight,5,14, 5,4 ,4
Michael Johnson,32,68.8975,The Menace,11 10,19 14,Featherweight,5,19, 14,11, 10
Alex Caceres,30,70.0786,Bruce Leeroy,9 10 (1 NC),14 12 (1 NC),Featherweight,5,14, 12,9 ,10 
Max Holloway,27,70.866,Blessed,16 4,20 4,Featherweight,5,20, 4,16, 4
Myles Jury,30,70.866,The Fury,8 4,17 4,Featherweight,5,17, 4,8 ,4
Kurt Holobaugh,32,70.866,,0 4,17 6 (1 NC),Featherweight,5,17, 6 ,0 ,4
Andre Fili,28,70.866,Touchy,7 5,19 6,Featherweight,5,19, 6,7 ,5
Zubaira Tukhugov,28,68.11009999999999,Warrior,3 1,18 4,Featherweight,5,18, 4,3 ,1
Mirsad Bektić,28,68.11009999999999,,6 1,13 1,Featherweight,5,13, 1,6 ,1
Chas Skelly,33,70.866,The Scrapper,6 4,17 4,Featherweight,5,17, 4,6 ,4
Brian Ortega,28,68.11009999999999,T-City,6 1 (1 NC),14 1 (1 NC),Featherweight,5,14, 1 ,6 ,1  
Charles Rosa,32,68.8975,Boston Strong,2 3,11 3,Featherweight,5,11, 3,2 ,3
Gabriel Benítez,30,68.11009999999999,Moggly,5 2,21 6,Featherweight,5,21, 6,5 ,2
Yair Rodríguez,26,70.866,El Pantera,7 1,11 2,Featherweight,5,11, 2,7 ,1
Doo Ho Choi,28,70.0786,The Korean Superboy,3 2,14 3,Featherweight,5,14, 3,3 ,2
Renato Moicano,29,70.866,Moicano,5 2,13 2 1,Featherweight,5,13, 2 ,5 ,2
Makwan Amirkhani,30,70.0786,Mr. Finland,4 1,14 3,Featherweight,5,14, 3,4 ,1
Arnold Allen,25,68.11009999999999,Almighty,5 0,14 1,Featherweight,5,14, 1,5 ,0
Enrique Barzola,30,66.92899999999999,El Fuerte,5 2,15 4 1,Featherweight,5,15, 4 ,5 ,2
Kyle Bochniak,32,66.92899999999999,Crash,2 4,8 4,Featherweight,5,8 ,4,2 ,4
Josh Emmett,34,66.92899999999999,,5 2,14 2,Featherweight,5,14, 2,5 ,2
Jordan Rinaldi,31,70.0786,All Day,2 3,14 7,Featherweight,5,14, 7,2 ,3
Rick Glenn,30,72.0471,The Gladiator,3 3,21 6 1,Featherweight,5,21, 6 ,3 ,3
Martin Bravo,25,68.11009999999999,El Toro,1 2,11 2,Featherweight,5,11, 2,1 ,2
Alexander Volkanovski,30,66.1416,The Great,6 0,19 1,Featherweight,5,19, 1,6 ,0
Shane Burgos,28,70.866,Hurricane,5 1,12 1,Featherweight,5,12, 1,5 ,1
Gavin Tucker,32,66.92899999999999,The Newfoundland Terror,1 1,10 1,Featherweight,5,10, 1,1 ,1
Daniel Teymur,31,66.92899999999999,Kid Dynamite,0 3,6 3,Featherweight,5,6 ,3,0 ,3
Danny Henry,30,70.866,The Hatchet,2 1,12 3,Featherweight,5,12, 3,2 ,1
Calvin Kattar,31,70.866,The Boston Finisher,3 1,19 3,Featherweight,5,19, 3,3 ,1
Humberto Bandenay,24,72.8345,,1 2,14 6 (1 NC),Featherweight,5,14, 6 ,1 ,2
Zabit Magomedsharipov,28,72.8345,Za Beast,5 0,17 1,Featherweight,5,17, 1,5 ,0
Shane Young,25,68.11009999999999,Sugar,2 1,13 4,Featherweight,5,13, 4,2 ,1
Wang Guan,33,70.866,The Dongbei Tiger,1 0,17 1 1,Featherweight,5,17, 1 ,1 ,0
Sheymon Moraes,28,68.11009999999999,,2 2,11 3,Featherweight,5,11, 3,2 ,2
Julio Arce,29,66.92899999999999,,2 1,15 3,Featherweight,5,15, 3,2 ,1
Dan Ige,27,66.92899999999999,Dynamite,3 1,11 2,Featherweight,5,11, 2,3 ,1
Austin Arnett,27,72.0471,The Golden Boy,1 3,16 6,Featherweight,5,16, 6,1 ,3
Steven Peterson,28,68.8975,Ocho,1 2,17 8,Featherweight,5,17, 8,1 ,2
Hakeem Dawodu,27,68.11009999999999,Mean,2 1,9 1 1,Featherweight,5,9 ,1 1,2 ,1
Tyler Diamond,28,66.92899999999999,,0 1,9 1,Featherweight,5,9 ,1,0 ,1
Bryce Mitchell,24,70.0786,Thug Nasty,2 0,11 0,Featherweight,5,11, 0,2 ,0
Luis Peña,25,75.19669999999999,Violent Bob Ross,2 1,6 1,Featherweight,5,6 ,1,2 ,1
Nad Narimani,32,68.11009999999999,,2 1,12 3,Featherweight,5,12, 3,2 ,1
Matt Sayles,25,66.92899999999999,Robo,1 1,8 2,Featherweight,5,8 ,2,1 ,1
Kyle Nelson,28,70.866,The Monster,0 2,12 3,Featherweight,5,12, 3,0 ,2
Chris Fishgold,26,68.11009999999999,,1 1,18 2 1,Featherweight,5,18, 2 ,1 ,1
Bobby Moffett,28,70.0786,The Wolfman,1 1,14 4,Featherweight,5,14, 4,1 ,1
Julian Erosa,29,72.0471,Juicy J,0 2,22 7,Featherweight,5,22, 7,0 ,2
Anderson dos Santos,33,66.92899999999999,Berinja,0 1,20 7,Featherweight,5,20, 7,0 ,1
Kevin Aguilar,30,66.92899999999999,The Angel of Death,2 0,17 1,Featherweight,5,17, 1,2 ,0
Suman Mokhtarian,26,70.0786,,0 1,8 1,Featherweight,5,8 ,1,0 ,1
Sodiq Yusuff,25,68.8975,Super,2 0,9 1,Featherweight,5,9 ,1,2 ,0
Jordan Griffin,29,70.0786,The Native Psycho,0 1,17 6,Featherweight,5,17, 6,0 ,1
Geraldo de Freitas,27,68.8975,Espartano,1 0,12 4,Featherweight,5,12, 4,1 ,0
Felipe Colares,25,68.8975,Cabocao,0 1,8 1,Featherweight,5,8 ,1,0 ,1
Kron Gracie,30,68.8975,Ice Cream,1 0,5 0,Featherweight,5,5 ,0,1 ,0
Grant Dawson,25,70.0786,The Prophet,1 0,13 1,Featherweight,5,13, 1,1 ,0
Mike Grundy,32,68.11009999999999,,1 0,12 1,Featherweight,5,12, 1,1 ,0
Eddie Wineland,34,68.11009999999999,,9 9,23 13 1,Bantamweight,6,23, 13,9 ,9
Rani Yahya,34,66.1416,,15 7 (1 NC),26 10 (1 NC),Bantamweight,6,26, 10,15, 7 
Dominick Cruz,34,68.11009999999999,Dominator,12 2,22 2,Bantamweight,6,22, 2,12, 2
Bryan Caraway,34,68.11009999999999,Kid Lightning,6 6,21 9,Bantamweight,6,21, 9,6 ,6
Raphael Assunção,36,64.9605,,14 5,27 6,Bantamweight,6,27, 6,14, 5
Renan Barão,32,66.1416,The Baron,11 7,34 8 (1 NC),Bantamweight,6,34, 8 ,11, 7
Iuri Alcântara,38,68.8975,Marajó,11 7 (1 NC),35 10 (1 NC),Bantamweight,6,35, 10,11, 7 
Johnny Eduardo,38,68.11009999999999,,3 4,28 12,Bantamweight,6,28, 12,3 ,4
John Dodson,34,62.992,The Magician,9 6,20 11,Bantamweight,6,20, 11,9 ,6
TJ Dillashaw,33,66.1416,,12 4,16 4,Bantamweight,6,16, 4,12, 4
John Lineker,28,62.992,Hands of Stone,12 4,31 9,Bantamweight,6,31, 9,12, 4
Mitch Gagnon,34,64.9605,,4 4,12 5,Bantamweight,6,12, 5,4 ,4
Kyung Ho Kang,31,68.8975,Mr. Perfect,4 2 (1 NC),15 8 (1 NC),Bantamweight,6,15, 8 ,4 ,2  
Sergio Pettis,25,66.1416,S.P.,8 5,17 5,Bantamweight,6,17, 5,8 ,5
Davey Grant,33,68.11009999999999,Dangerous,1 3,10 4,Bantamweight,6,10, 4,1 ,3
Teruto Ishihara,27,66.92899999999999,Yashabo,3 5 1,10 7 2,Bantamweight,6,10, 7 ,3 ,5 1
Douglas Silva de Andrade,33,66.92899999999999,D'Silva,3 3,25 3 (1 NC),Bantamweight,6,25, 3 ,3 ,3
Aljamain Sterling,29,66.92899999999999,Funk Master,9 3,17 3,Bantamweight,6,17, 3,9 ,3
Pedro Munhoz,32,66.1416,The Young Punisher,8 3 (1 NC),18 3 (1 NC),Bantamweight,6,18, 3 ,8 ,3  
Patrick Williams,37,68.11009999999999,The Animal,1 3,8 6,Bantamweight,6,8 ,6,1 ,3
Louis Smolka,27,68.8975,Da Last Samurai,5 6,14 6,Bantamweight,6,14, 6,5 ,6
Rob Font,31,68.11009999999999,,6 3,16 4,Bantamweight,6,16, 4,6 ,3
Frankie Saenz,38,66.1416,,5 4,13 6,Bantamweight,6,13, 6,5 ,4
Thomas Almeida,27,66.92899999999999,Thominhas,5 3,21 3,Bantamweight,6,21, 3,5 ,3
Henry Briones,38,66.92899999999999,Bure,1 4,16 8 1,Bantamweight,6,16, 8 ,1 ,4
Guido Cannetti,39,66.1416,Ninja,2 3,8 4,Bantamweight,6,8 ,4,2 ,3
Alejandro Pérez,29,66.1416,Turbo,7 2 1,21 7 1,Bantamweight,6,21, 7 ,7 ,2 1
José Alberto Quiñónez,28,68.11009999999999,Teco,4 1,7 2,Bantamweight,6,7 ,2,4 ,1
Marlon Vera,26,68.11009999999999,Chito,13 5 1,,Bantamweight,6,na,n,13, 5 
Cody Garbrandt,27,66.92899999999999,No Love,6 3,11 3,Bantamweight,6,11, 3,6 ,3
Jimmie Rivera,29,64.17309999999999,El Terror,6 2,22 3,Bantamweight,6,22, 3,6 ,2
Luke Sanders,33,66.92899999999999,Cool Hand,3 2,13 2,Bantamweight,6,13, 2,3 ,2
Matthew Lopez,32,66.92899999999999,,2 4,10 4,Bantamweight,6,10, 4,2 ,4
Brett Johns,27,66.92899999999999,The Pikey,3 2,15 2,Bantamweight,6,15, 2,3 ,2
Kwan Ho Kwak,29,66.92899999999999,Handsome,0 2,9 2,Bantamweight,6,9 ,2,0 ,2
Matt Schnell,29,68.11009999999999,Danger,3 2,12 4,Bantamweight,6,12, 4,3 ,2
Ricardo Ramos,23,68.8975,,3 1,12 2,Bantamweight,6,12, 2,3 ,1
Aiemann Zahabi,31,68.11009999999999,,1 2,7 2,Bantamweight,6,7 ,2,1 ,2
Andre Soukhamthath,30,68.8975,The Asian Sensation,2 4,13 7,Bantamweight,6,13, 7,2 ,4
Tom Duquesnoy,25,66.92899999999999,Firekid,2 1,16 2 (1 NC),Bantamweight,6,16, 2 ,2 ,1
Brian Kelleher,32,66.1416,Boom,3 3,19 10,Bantamweight,6,19, 10,3 ,3
Marlon Moraes,31,66.1416,Magic,4 1,23 5 1,Bantamweight,6,23, 5 ,4 ,1
Cody Stamann,29,66.1416,The Spartan,4 1,18 2,Bantamweight,6,18, 2,4 ,1
Bharat Kandare,29,66.92899999999999,Daring,0 1,5 3,Bantamweight,6,5 ,3,0 ,1
Cory Sandhagen,27,70.866,,4 0,11 1,Bantamweight,6,11, 1,4 ,0
Song Yadong,24,66.1416,The Terminator,3 0,13 3 (2 NC),Bantamweight,6,13, 3 ,3 ,0
Wuliji Buren,29,68.11009999999999,Beast Master,0 3,9 6,Bantamweight,6,9 ,6,0 ,3
Sean O'Malley,24,70.866,Sugar,2 0,10 0,Bantamweight,6,10, 0,2 ,0
Merab Dvalishvili,28,66.1416,,2 2,9 4,Bantamweight,6,9 ,4,2 ,2
Benito Lopez,25,70.0786,Golden Boy,1 1,9 1,Bantamweight,6,9 ,1,1 ,1
Alex Perez,26,64.17309999999999,,3 1,21 5,Bantamweight,6,21, 5,3 ,1
Mark De La Rosa,24,66.1416,The Bumblebee,11 1,,Bantamweight,6,na,n,11, 1
Brandon Davis,29,70.0786,Killer B,2 3,10 5,Bantamweight,6,10, 5,2 ,3
Manny Bermudez,24,66.1416,The Bermudez Triangle,3 0,13 0,Bantamweight,6,13, 0,3 ,0
Ricky Simon,26,66.1416,,3 0,15 1,Bantamweight,6,15, 1,3 ,0
Nathaniel Wood,25,66.1416,The Prospect,3 0,16 3,Bantamweight,6,16, 3,3 ,0
Brad Katona,27,66.1416,Superman,2 1,8 1,Bantamweight,6,8 ,1,2 ,1
Raoni Barcelos,32,66.92899999999999,,2 0,13 1,Bantamweight,6,13, 1,2 ,0
Petr Yan,26,66.92899999999999,No Mercy,5 0,13 1,Bantamweight,6,13, 1,5 ,0
Said Nurmagomedov,27,68.11009999999999,,2 0,13 1,Bantamweight,6,13, 1,2 ,0
Pingyuan Liu,26,66.1416,,2 0,13 5,Bantamweight,6,13, 5,2 ,0
Khalid Taha,27,66.92899999999999,,1 1,13 2,Bantamweight,6,13, 2,1 ,1
Montel Jackson,27,70.0786,Quik,2 1,8 3,Bantamweight,6,8 ,3,2 ,1
Jin Soo Son,26,66.1416,,0 1,9 3,Bantamweight,6,9 ,3,0 ,1
Andre Ewell,31,70.866,Mr. Highlight,1 1,14 5,Bantamweight,6,14, 5,1 ,1
Jonathan Martinez,32,66.92899999999999,Dragon,1 1,10 2,Bantamweight,6,10, 2,1 ,1
Mudaerji Su,23,68.11009999999999,Tibetan Eagle,0 1,8 2,Bantamweight,6,8 ,2,0 ,1
Martin Day,30,68.8975,The Spartan,0 1,8 3,Bantamweight,6,8 ,3,0 ,1
Vince Morales,28,66.92899999999999,Vandetta,1 1,9 3,Bantamweight,6,9 ,3,1 ,1
Chris Gutierrez,28,68.11009999999999,El Guapo,1 1,13 4,Bantamweight,6,13, 4,1 ,1
Mario Bautista,25,68.8975,,0 1,6 1,Bantamweight,6,6 ,1,0 ,1
Ryan MacDonald,26,70.866,,0 1,10 1,Bantamweight,6,10, 1,0 ,1
Randy Costa,24,70.0786,The Zohan,0 1,4 1,Bantamweight,6,4 ,1,0 ,1
Boston Salmon,28,68.8975,Bom Bom,0 1,6 2,Bantamweight,6,6 ,2,0 ,1
Movsar Evolev,25,68.11009999999999,,1 0,11 0,Bantamweight,6,11, 0,1 ,0
Seung Woo Choi,26,70.866,,0 1,7 2,Bantamweight,6,7 ,2,0 ,1
Cole Smith,30,70.866,The Cole Train,1 0,7 0,Bantamweight,6,7 ,0,1 ,0
Joseph Benavidez,34,64.17309999999999,,19 5,27 5,Flyweight,7,27, 5,19, 5
Tim Elliott,32,66.92899999999999,,4 6,15 8 1,Flyweight,7,15, 8 ,4 ,6
Jussier Formiga,34,64.9605,Formiga,9 4,23 5,Flyweight,7,23, 5,9 ,4
Ryan Benoit,29,64.9605,Baby Face,3 3,10 5,Flyweight,7,10, 5,3 ,3
Wilson Reis,34,64.17309999999999,,7 6,23 10,Flyweight,7,23, 10,7 ,6
Henry Cejudo,32,64.17309999999999,The Messenger,8 2,14 2,Flyweight,7,14, 2,8 ,2
Alexandre Pantoja,29,64.9605,The Cannibal,5 1,21 3,Flyweight,7,21, 3,5 ,1
Eric Shelton,28,66.1416,Showtime,2 4,12 6,Flyweight,7,12, 6,2 ,4
Deiveson Figueiredo,31,64.9605,Deus da Guerra,4 1,15 1,Flyweight,7,15, 1,4 ,1
Ashkan Mokhtarian,33,66.1416,The Assassin,0 2,13 3,Flyweight,7,13, 3,0 ,2
Joseph Morales,24,66.1416,Bopo,1 2,9 2,Flyweight,7,9 ,2,1 ,2
Kai Kara France,26,64.9605,,2 0,19 7 (1 NC),Flyweight,7,19, 7 ,2 ,0
Rogerio Bontorin,27,64.9605,,1 0,15 1,Flyweight,7,15, 1,1 ,0
Raulian Paiva Franzao,23,66.1416,,0 1,18 2,Flyweight,7,18, 2,0 ,1
Jordan Espinosa,29,66.92899999999999,,1 0,14 5 (1 NC),Flyweight,7,14, 5 ,1 ,0
Cat Zingano,36,66.1416,Alpha,3 4,10 4,"Women""s Featherweight",8,10, 4,3 ,4
Amanda Nunes,30,68.11009999999999,The Lioness,11 2,17 4,"Women""s Featherweight",8,17, 4,11, 2
Holly Holm,37,68.11009999999999,The Preacher's Daughter,5 4,12 4,"Women""s Featherweight",8,12, 4,5 ,4
Cris Cyborg,33,68.11009999999999,Cyborg,9 1 (1 NC),20 2 (1 NC),"Women""s Featherweight",8,20, 2 ,9 ,1  
Megan Anderson,29,72.0471,,1 1,9 3,"Women""s Featherweight",8,9 ,3,1 ,1
Leah Letson,26,66.92899999999999,Nidas,1 0,4 1,"Women""s Featherweight",8,4 ,1,1 ,0
Julija Stoliarenko,26,66.92899999999999,,0 1,4 2,"Women""s Featherweight",8,4 ,2,0 ,1
Germaine de Randamie,35,68.8975,The Iron Lady,6 2,8 3,"Women""s Bantamweight",9,8 ,3,6 ,2
Sara McMann,38,66.1416,,5 5,11 5,"Women""s Bantamweight",9,11, 5,5 ,5
Amanda Nunes,30,68.11009999999999,The Lioness,11 2,17 4,"Women""s Bantamweight",9,17, 4,11, 2
Raquel Pennington,30,66.92899999999999,Rocky,6 4,9 5,"Women""s Bantamweight",9,9 ,5,6 ,4
Julianna Peña,29,66.92899999999999,The Venezuelan Vixen,4 1,8 3,"Women""s Bantamweight",9,8 ,3,4 ,1
Bethe Correia,35,64.9605,Pitbull,4 3 1,10 3 1,"Women""s Bantamweight",9,10, 3 ,4 ,3 1
Sarah Moras,31,66.92899999999999,Cheesecake,2 4,5 5,"Women""s Bantamweight",9,5 ,5,2 ,4
Marion Reneau,41,66.1416,The Belizean Bruiser,5 4 1,9 5 1,"Women""s Bantamweight",9,9 ,5 1,5 ,4 1
Holly Holm,37,68.11009999999999,The Preacher's Daughter,5 4,12 4,"Women""s Bantamweight",9,12, 4,5 ,4
Lina Länsberg,37,66.92899999999999,Elbow Queen,2 3,8 4,"Women""s Bantamweight",9,8 ,4,2 ,3
Ketlen Vieira,27,68.11009999999999,Fenômeno,4 0,10 0,"Women""s Bantamweight",9,10, 0,4 ,0
Irene Aldana,31,68.8975,,2 2,9 4,"Women""s Bantamweight",9,9 ,4,2 ,2
Gina Mazany,30,66.1416,Danger,1 3,5 3,"Women""s Bantamweight",9,5 ,3,1 ,3
Tonya Evinger,37,66.92899999999999,Triple Threat,0 2,19 7 (1 NC),"Women""s Bantamweight",9,19, 7 ,0 ,2
Yana Kunitskaya,29,66.1416,Foxy,2 1,12 4,"Women""s Bantamweight",9,12, 4,2 ,1
Amanda Lemos,21,64.17309999999999,,0 1,6 1 1,"Women""s Bantamweight",9,6 ,1 1,0 ,1
Talita Bernardo,32,64.17309999999999,,1 2,6 3,"Women""s Bantamweight",9,6 ,3,1 ,2
Aspen Ladd,24,66.1416,,2 0,7 0,"Women""s Bantamweight",9,7 ,0,2 ,0
Macy Chiasson,27,68.8975,,3 0,5 0,"Women""s Bantamweight",9,5 ,0,3 ,0
Liz Carmouche,35,66.1416,Girlrilla,5 5,13 6,"Women""s Flyweight",10,13, 6,5 ,5
Alexis Davis,34,66.1416,Ally-Gator,8 5,19 9,"Women""s Flyweight",10,19, 9,8 ,5
Jessica Eye,32,66.1416,Evil,4 5 (1 NC),14 6 (1 NC),"Women""s Flyweight",10,14, 6 ,4 ,5  
Roxanne Modafferi,36,66.1416,The Happy Warrior,2 3,23 15,"Women""s Flyweight",10,23, 15,2 ,3
Joanna Jędrzejczyk,31,66.1416,,9 3,15 3,"Women""s Flyweight",10,15, 3,9 ,3
Lauren Murphy,35,66.92899999999999,Lucky,2 4,10 4,"Women""s Flyweight",10,10, 4,2 ,4
Paige VanZant,25,64.17309999999999,12 Gauge,5 3,8 4,"Women""s Flyweight",10,8 ,4,5 ,3
Ashlee Evans-Smith,31,68.11009999999999,Rebel Girl,3 4,6 4,"Women""s Flyweight",10,6 ,4,3 ,4
Maryna Moroz,27,66.92899999999999,The Iron Lady,4 3,9 3,"Women""s Flyweight",10,9 ,3,4 ,3
Valentina Shevchenko,31,64.9605,Bullet,5 2,16 3,"Women""s Flyweight",10,16, 3,5 ,2
Justine Kish,31,64.9605,,2 2,6 2,"Women""s Flyweight",10,6 ,2,2 ,2
Katlyn Chookagian,30,68.8975,Blonde Fighter,4 2,11 2,"Women""s Flyweight",10,11, 2,4 ,2
JJ Aldrich,26,64.9605,,3 2,7 3,"Women""s Flyweight",10,7 ,3,3 ,2
Joanne Calderwood,32,66.1416,JoJo,5 3,13 3,"Women""s Flyweight",10,13, 3,5 ,3
Veronica Macedo,23,62.992,,0 3,5 3 1,"Women""s Flyweight",10,5 ,3 1,0 ,3
Lucie Pudilová,24,68.11009999999999,Bullet,2 3,8 4,"Women""s Flyweight",10,8 ,4,2 ,3
Ji Yeon Kim,29,66.1416,Firefist,2 2,8 2 2,"Women""s Flyweight",10,8 ,2 2,2 ,2
Mara Romero Borella,33,66.1416,Maravilla,2 1,12 5 (2 NC),"Women""s Flyweight",10,12, 5 ,2 ,1
Kalindra Faria,32,64.9605,,0 3,18 8 1,"Women""s Flyweight",10,18, 8 ,0 ,3
Poliana Botelho,30,68.11009999999999,,3 1,8 2,"Women""s Flyweight",10,8 ,2,3 ,1
