Name,Age,Ht.,Nickname,Endeavor record,MMA record,Weight Class,Weight Class Index,Overall Wins,Overall Losses,UFC Wins,UFC Losses
Corey Anderson,29,75.19669999999999,Overtime,9 4,12 4,Light heavyweight,1,12, 4,9 ,4
Sam Alvey,33,74.01559999999999,Smile'N,10 7,33 12 (1 NC),Light heavyweight,1,33, 12,10, 7
Jan Blachowicz,36,74.01559999999999,The Prince of Cieszyn,6 5,23 8,Light heavyweight,1,23, 8,6 ,5
Jake Collier,30,75.19669999999999,The Prototype,3 3,11 4,Light heavyweight,1,11, 4,3 ,3
Misha Cirkunov,32,75.19669999999999,,5 3,14 5,Light heavyweight,1,14, 5,5 ,3
Anthony Smith,30,77.1652,Lionheart,9 6,31 14,Light heavyweight,1,31, 14,9 ,6
Ion Cuțelaba,25,72.8345,The Hulk,3 3,14 4 (1 NC),Light heavyweight,1,14, 4 ,3 ,3
Khalil Rountree Jr.,29,72.8345,The War Horse,4 3 (1 NC),8 3 (1 NC),Light heavyweight,1,8 ,3  ,4 ,3  
Devin Clark,30,72.0471,Brown Bear,3 3,9 3,Light heavyweight,1,9 ,3,3 ,3
Justin Ledet,30,75.9841,El Blanco,3 2,9 2 (1 NC),Light heavyweight,1,9 ,2  ,3 ,2
Gadzhimurad Antigulov,32,70.866,,2 2,20 6,Light heavyweight,1,20, 6,2 ,2
Tyson Pedro,27,75.19669999999999,,3 3,7 3,Light heavyweight,1,7 ,3,3 ,3
Saparbek Safarov,32,72.8345,,1 2,9 2,Light heavyweight,1,9 ,2,1 ,2
Paul Craig,31,75.9841,BearJew,3 3,11 3,Light heavyweight,1,11, 3,3 ,3
Bojan Mihajlović,39,70.866,,0 3,10 6,Light heavyweight,1,10, 6,0 ,3
Volkan Oezdemir,29,74.01559999999999,No Time,3 3,15 4,Light heavyweight,1,15, 4,3 ,3
Dominick Reyes,29,75.9841,The Devastator,5 0,11 0,Light heavyweight,1,11, 0,5 ,0
Eryk Anders,32,74.01559999999999,Ya Boy,3 4,11 4,Light heavyweight,1,11, 4,3 ,4
Abdul-Kerim Edilov,27,75.19669999999999,,1 0,17 4,Light heavyweight,1,17, 4,1 ,0
Aleksandar Rakić,27,77.1652,,3 0,11 1,Light heavyweight,1,11, 1,3 ,0
Gökhan Saki,35,72.0471,The Rebel,1 1,1 2,Light heavyweight,1,1 ,2,1 ,1
Hu Yaozong,24,74.01559999999999,Bad Boy,0 2,3 2,Light heavyweight,1,3 ,2,0 ,2
Michał Oleksiejczuk,24,72.0471,Lord,2 0 (1 NC),14 2 (1 NC),Light heavyweight,1,14, 2 ,2 ,0  
Marcin Prachnio,30,75.19669999999999,,0 2,13 4,Light heavyweight,1,13, 4,0 ,2
Magomed Ankalaev,26,74.01559999999999,,2 1,10 1,Light heavyweight,1,10, 1,2 ,1
Mike Rodriguez,30,75.19669999999999,Slow,1 1,10 3,Light heavyweight,1,10, 3,1 ,1
Darko Stošić,27,72.0471,,1 0,13 1,Light heavyweight,1,13, 1,1 ,0
Ryan Spann,27,77.1652,Superman,1 0,15 5,Light heavyweight,1,15, 5,1 ,0
Johnny Walker,27,77.1652,,3 0,17 3,Light heavyweight,1,17, 3,3 ,0
Jimmy Crute,24,74.01559999999999,The Brute,2 0,10 0,Light heavyweight,1,10, 0,2 ,0
Alonzo Menifield,31,72.0471,,1 0,8 0,Light heavyweight,1,8 ,0,1 ,0
Vinicius Moreira,30,75.9841,Mamute,0 1,9 2,Light heavyweight,1,9 ,2,0 ,1
Klidson Abreu,26,74.01559999999999,Urso Branco,0 1,14 3,Light heavyweight,1,14, 3,0 ,1
Nicolae Negumereanu,24,72.8345,Nicu,0 1,9 1,Light heavyweight,1,9 ,1,0 ,1
Kennedy Nzechukwu,26,77.1652,,0 1,6 1,Light heavyweight,1,6 ,1,0 ,1
Anderson Silva,44,74.01559999999999,The Spider,17 5 (1 NC),34 9 (1 NC),Middleweight,2,34, 9 ,17, 5 
Luke Rockhold,34,75.19669999999999,,9 3,16 4,Middleweight,2,16, 4,9 ,3
CB Dollaway,35,74.01559999999999,The Doberman,11 9,17 9,Middleweight,2,17, 9,11, 9
Ronaldo Souza,39,72.8345,Jacaré,12 5,26 7 (1 NC),Middleweight,2,26, 7 ,12, 5
David Branch,37,72.8345,,4 5,22 6,Middleweight,2,22, 6,4 ,5
Tim Boetsch,38,72.0471,The Barbarian,12 12,21 13,Middleweight,2,21, 13,12, 12
Brad Tavares,31,72.8345,,12 5,17 5,Middleweight,2,17, 5,12, 5
Chris Weidman,34,74.01559999999999,The All-American,10 4,14 4,Middleweight,2,14, 4,10, 4
Derek Brunson,35,72.8345,,13 6,19 7,Middleweight,2,19, 7,13, 6
Trevor Smith,38,75.19669999999999,Hot Sauce,7 8,15 9,Middleweight,2,15, 9,7 ,8
Yoel Romero,42,70.0786,Soldier of God,9 3,13 3,Middleweight,2,13, 3,9 ,3
Marcelo Guimarães,35,72.0471,Magrão,2 2,9 2 1,Middleweight,2,9 ,2 1,2 ,2
Hector Lombard,41,68.8975,Lightning,3 8 (1 NC),34 10 1 (2 NC),Middleweight,2,34, 10,3 ,8  
Cezar Ferreira,34,72.8345,Mutante,9 5,13 7,Middleweight,2,13, 7,9 ,5
Robert Whittaker,28,72.0471,The Reaper,11 2,20 4,Middleweight,2,20, 4,11, 2
Uriah Hall,34,72.0471,Prime Time,7 7,14 9,Middleweight,2,14, 9,7 ,7
Antônio Braga Neto,31,75.19669999999999,,1 2,9 3 (1 NC),Middleweight,2,9 ,3  ,1 ,2
Kelvin Gastelum,27,68.8975,,10 4 (1 NC),15 4 (1 NC),Middleweight,2,15, 4 ,10, 4 
Zak Cummings,34,72.0471,,7 3,22 6,Middleweight,2,22, 6,7 ,3
Omari Akhmedov,31,72.0471,Wolverine,6 3 1,18 4 1,Middleweight,2,18, 4 ,6 ,3 1
Krzysztof Jotko,29,72.8345,,7 4,20 4,Middleweight,2,20, 4,7 ,4
Elias Theodorou,30,72.8345,The Spartan,8 3,16 3,Middleweight,2,16, 3,8 ,3
Antônio Carlos Júnior,29,72.8345,Cara de Sapato,7 2 (1 NC),10 2 (1 NC),Middleweight,2,10, 2 ,7 ,2  
Keith Berish,33,72.0471,Sha Bang Bang,0 1 (1 NC),5 1 (1 NC),Middleweight,2,5 ,1  ,0 ,1  
Jared Cannonier,35,70.866,Tha Killa Gorilla,4 4,11 4,Middleweight,2,11, 4,4 ,4
Tom Breese,27,75.19669999999999,The Terror,4 1,11 1,Middleweight,2,11, 1,4 ,1
Jonathan Wilson,31,74.01559999999999,Johnny Bravo,1 3,7 3,Middleweight,2,7 ,3,1 ,3
Alessio Di Chirico,29,72.0471,Manzo,3 2,12 2,Middleweight,2,12, 2,3 ,2
Andrew Sanchez,31,72.8345,El Dirte,4 2,11 4,Middleweight,2,11, 4,4 ,2
Marvin Vettori,25,72.0471,The Italian Dream,2 2 1,12 4 1,Middleweight,2,12, 4 ,2 ,2 1
Jack Hermansson,30,72.8345,The Joker,7 2,20 4,Middleweight,2,20, 4,7 ,2
Jack Marshman,29,72.0471,The Hammer,3 3,23 8,Middleweight,2,23, 8,3 ,3
Darren Stewart,28,70.0786,The Dentist,2 4 (1 NC),9 4 (1 NC),Middleweight,2,9 ,4  ,2 ,4  
Gerald Meerschaert,31,72.8345,GM3,4 3,28 11,Middleweight,2,28, 11,4 ,3
Paulo Costa,28,72.0471,The Eraser,4 0,12 0,Middleweight,2,12, 0,4 ,0
Trevin Giles,26,72.0471,The Problem,2 0,11 0,Middleweight,2,11, 0,2 ,0
Karl Roberson,28,72.8345,Baby K,2 2,7 2,Middleweight,2,7 ,2,2 ,2
Markus Perez,28,74.01559999999999,Maluko,2 2,11 2,Middleweight,2,11, 2,2 ,2
Julian Marquez,29,74.01559999999999,The Cuban Missile Crisis,1 1,7 2,Middleweight,2,7 ,2,1 ,1
Israel Adesanya (IC),29,75.9841,The Last Stylebender,6 0,17 0,Middleweight,2,17, 0,6 ,0
Charles Byrd,35,70.0786,Kid Dynamite,1 2,10 6,Middleweight,2,10, 6,1 ,2
John Phillips,33,70.866,The White Mike Tyson,0 3,21 9 (1 NC),Middleweight,2,21, 9 ,0 ,3
Oskar Piechota,29,72.0471,Imadło,2 1,11 1 1,Middleweight,2,11, 1 ,2 ,1
Abu Azaitar,33,70.0786,Gladiator,1 0,14 1 1 (1 NC),Middleweight,2,14, 1 ,1 ,0
Kevin Holland,26,75.19669999999999,Trailblazer,2 1,14 4,Middleweight,2,14, 4,2 ,1
Khalid Murtazaliev,25,70.866,,1 0,14 2,Middleweight,2,14, 2,1 ,0
Adam Yandiev,30,70.866,Beard,0 1,9 1,Middleweight,2,9 ,1,0 ,1
Ian Heinisch,30,70.866,The Hurricane,1 0,12 1,Middleweight,2,12, 1,1 ,0
Edmen Shahbazyan,21,74.01559999999999,,2 0,9 0,Middleweight,2,9 ,0,2 ,0
Bevon Lewis,28,75.19669999999999,The Extraordinary Gentleman,0 1,6 1,Middleweight,2,6 ,1,0 ,1
Anthony Hernandez,25,72.0471,Fluffy,0 1,7 1,Middleweight,2,7 ,1,0 ,1
Alen Amedovski,31,70.0786,,0 1,8 1,Middleweight,2,8 ,1,0 ,1
Marc-André Barriault,29,72.8345,Power Bar,0 1,11 2,Middleweight,2,11, 2,0 ,1
Robbie Lawler,37,70.866,Ruthless,14 9,28 13 (1 NC),Welterweight,3,28, 13,14, 9
Diego Sanchez,37,70.0786,Nightmare,18 11,29 11,Welterweight,3,29, 11,18, 11
Thiago Alves,35,68.8975,Pitbull,15 10,23 13,Welterweight,3,23, 13,15, 10
Keita Nakamura,34,70.866,K-Taro,4 7,34 10 2 (1 NC),Welterweight,3,34, 10,4 ,7
Carlos Condit,35,74.01559999999999,The Natural Born Killer,12 9,30 13,Welterweight,3,30, 13,12, 9
Matt Brown,38,72.0471,The Immortal,14 10,21 16,Welterweight,3,21, 16,14, 10
Demian Maia,41,72.8345,,20 9,26 9,Welterweight,3,26, 9,20, 9
Ben Saunders,36,74.01559999999999,Killa B,10 9,22 12 2,Welterweight,3,22, 12,10, 9
Dong Hyun Kim,37,72.8345,The Stun Gun,13 4 (1 NC),22 4 1 (1 NC),Welterweight,3,22, 4 ,13, 4 
Rafael dos Anjos,34,68.11009999999999,,17 9,28 11,Welterweight,3,28, 11,17, 9
Anthony Pettis,32,70.0786,Showtime,14 8,22 8,Welterweight,3,22, 8,14, 8
Peter Sobotta,32,72.0471,,4 5,17 6 1,Welterweight,3,17, 6 ,4 ,5
Tyron Woodley,37,68.8975,The Chosen One,11 4 1,19 4 1,Welterweight,3,19, 4 ,11, 4 
Tarec Saffiedine,32,70.0786,Sponge,6 4,16 7,Welterweight,3,16, 7,6 ,4
Court McGee,34,70.866,The Crusher,8 7,19 8,Welterweight,3,19, 8,8 ,7
Jorge Masvidal,34,70.0786,Gamebred,12 7,33 13,Welterweight,3,33, 13,12, 7
Jordan Mein,29,72.0471,Young Gun,7 5,31 12,Welterweight,3,31, 12,7 ,5
Stephen Thompson,36,72.0471,Wonderboy,9 4 1,14 4 1,Welterweight,3,14, 4 ,9 ,4 1
Tim Means,35,74.01559999999999,The Dirty Bird,10 8 (1 NC),28 11 1 (1 NC),Welterweight,3,28, 11,10, 8 
Siyar Bahadurzada,35,70.866,The Great,4 3,24 7 1,Welterweight,3,24, 7 ,4 ,3
Michael Chiesa,31,72.8345,Maverick,8 4,15 4,Welterweight,3,15, 4,8 ,4
Sérgio Moraes,36,70.866,The Panther,8 3 1,14 4 1,Welterweight,3,14, 4 ,8 ,3 1
Gunnar Nelson,30,70.866,Gunni,8 4,17 4 1,Welterweight,3,17, 4 ,8 ,4
Bradley Scott,29,72.8345,Bear,3 5,11 6,Welterweight,3,11, 6,3 ,5
Neil Magny,31,75.19669999999999,,14 6,21 7,Welterweight,3,21, 7,14, 6
Michel Prazeres,37,68.11009999999999,Trator,10 3,26 3,Welterweight,3,26, 3,10, 3
James Krause,32,74.01559999999999,The James Krause,7 5,26 7,Welterweight,3,26, 7,7 ,5
Santiago Ponzinibbio,32,72.0471,Gente Boa,9 2,27 3,Welterweight,3,27, 3,9 ,2
Alex Garcia,31,68.8975,The Dominican Nightmare,5 5,15 6,Welterweight,3,15, 6,5 ,5
Anthony Rocco Martin,29,72.0471,,8 4,16 4,Welterweight,3,16, 4,8 ,4
Cláudio Silva,36,70.866,Hannibal,4 0,13 1,Welterweight,3,13, 1,4 ,0
Sean Strickland,28,70.0786,Tarzan,7 3,20 3,Welterweight,3,20, 3,7 ,3
Chad Laprise,32,70.0786,The Disciple,6 4,13 4,Welterweight,3,13, 4,6 ,4
Nordine Taleb,37,72.8345,,7 4,15 6,Welterweight,3,15, 6,7 ,4
Sheldon Westcott,34,72.8345,,1 2,9 3 1,Welterweight,3,9 ,3 1,1 ,2
Li Jingliang,31,72.0471,The Leech,8 3,16 5,Welterweight,3,16, 5,8 ,3
Warlley Alves,28,70.866,,6 3,12 3,Welterweight,3,12, 3,6 ,3
Jake Matthews,24,68.8975,The Celtic Kid,7 4,14 4,Welterweight,3,14, 4,7 ,4
Dhiego Lima,30,74.01559999999999,,3 5,14 7,Welterweight,3,14, 7,3 ,5
Alan Jouban,36,72.0471,Brahma,7 5,16 7,Welterweight,3,16, 7,7 ,5
Colby Covington,31,70.866,Chaos,9 1,14 1,Welterweight,3,14, 1,9 ,1
